total_return,annualised_return,annualised_vol,sharpe,max_drawdown,avg_daily_turnover,reversal_ratio
0.31660790734313626,0.03506871767273889,0.08023991778396614,0.43704827523821893,-0.17604042172377243,0.0007624730648102105,0.0
0.4961302251617161,0.05178156247182497,0.0755684310490335,0.6852274389318189,-0.18572592245082586,0.0007624730648102105,0.1
0.4961302251617161,0.05178156247182497,0.0755684310490335,0.6852274389318189,-0.18572592245082586,0.0007624730648102105,0.2
0.4836002884240729,0.050673690331928256,0.06467492876178885,0.7835136628997297,-0.07549334329953161,0.0007624730648102103,0.30000000000000004
-0.05162018416569869,-0.0066194918853655915,0.04806571056123762,-0.1377175497474878,-0.11488764586664035,0.0007956240676280457,0.4
-0.0007478835412048079,-9.374854570598501e-05,0.048240376749533395,-0.0019433626356761774,-0.0934923795360616,0.0007956240676280459,0.5
-0.0007478835412048079,-9.374854570598501e-05,0.048240376749533395,-0.0019433626356761774,-0.0934923795360616,0.0007956240676280459,0.6000000000000001
-0.0779113772799247,-0.010112968488639962,0.05079011264399378,-0.19911293679392691,-0.1403904979644699,0.0007956240676280457,0.7000000000000001
-0.0779113772799247,-0.010112968488639962,0.05079011264399378,-0.19911293679392691,-0.1403904979644699,0.0007956240676280457,0.8
-0.0779113772799247,-0.010112968488639962,0.05079011264399378,-0.19911293679392691,-0.1403904979644699,0.0007956240676280457,0.9
-0.0779113772799247,-0.010112968488639962,0.05079011264399378,-0.19911293679392691,-0.1403904979644699,0.0007956240676280457,1.0
